id,Nombre,datasketch,pacifista,ojoalapaz,indepaz,ONU,Defensoria,Unidad de Victimas,Somos Defensores,Cinep. Noche y Niebla,CODHES,Colectivo de Abogados José Alvear Restrepo Cajar,Género,Fecha,Municipio,Departamento,Tipo de líder,Cargo,Móvil,Otros,Fuentes
francisco-jaramillo-moreno,Francisco Jaramillo Moreno,si,NA,NA,si,NA,NA,NA,NA,NA,NA,si,M,2016-01-02,Briceño,Antioquia,Líder campesino o agrario,Campesino,"El 1 de enero de 2016 desaparecieron dos hermanos, Víctor y Francisco Jaramillo Moreno, oriundos del municipio de Briceño, que vivían en las veredas La Vélez y La América respectivamente. Al día siguiente en horas de la tarde fueron encontrados sin vida en la vereda Las Auras de este mismo municipio. Los cuerpos sin vida presentaban impactos por armas de fuego.",,http://prensarural.org/spip/spip.php?article18439
victor-jaramillo-moreno,Víctor Jaramillo Moreno,si,NA,NA,si,NA,NA,NA,NA,NA,NA,si,M,2016-01-02,Briceño,Antioquia,Líder campesino o agrario,Campesino,"El 1 de enero de 2016 desaparecieron dos hermanos, Víctor y Francisco Jaramillo Moreno, oriundos del municipio de Briceño, que vivían en las veredas La Vélez y La América respectivamente. Al día siguiente en horas de la tarde fueron encontrados sin vida en la vereda Las Auras de este mismo municipio. Los cuerpos sin vida presentaban impactos por armas de fuego.",,http://prensarural.org/spip/spip.php?article18439
willinton-andres-banol,Willinton Andres Bañol,si,NA,NA,si,NA,NA,si,si,NA,si,NA,M,2016-01-10,Pereira,Risaralda,Líder comunitario,"Líder social de Galicia, y propietario de la Fundación Amor y Fé que prestaba servicio a niños de escasos recursos.",Fue hallado sin vida en zona boscosa del sector de Galicia,,https://vidassilenciadas.org/victimas/37812/
mario-alexis-tarache,Mario Alexis Tarache Perez,si,NA,si,si,NA,NA,NA,si,si,NA,si,M,2016-01-14,San Luis de Palenque,Casanare,Líder comunal,Presidente de la Junta de Acción Comunal de la vereda Arenitas de San Luis de Palenque (Casanare),Le propinaron varios disparos con escopeta,Días después se capturaron los presuntos asesinos del líder,http://hsbnoticias.com/noticias/judicial/dos-capturados-por-el-homicidio-del-lider-comunal-de-casanar-216781
robinson-avila-ortiz,Robinson Avila Ortiz,si,NA,si,si,NA,NA,NA,NA,si,NA,si,M,2016-01-31,Algeciras,Huila,Líder comunal,Líder comunal del Bajo Quebradón de Algeciras,Encontrado muerto en sitio aislado,,"http://caracol.com.co/radio/2011/04/25/judicial/1303711260_459486.html, https://hrdmemorial.org/hrdrecord/robinson-avila-ortiz/"
senelia-regifo-gomez,Senelia Regifo Gómez,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,F,2016-02-02,Colon y Genova,Nariño,Líder sindical,Docente,La asesinaron propinandole disparos con arma de fuego,,https://vidassilenciadas.org/victimas/37817/
marco-aurelio-diaz,Marco Aurelio Diaz,NA,NA,NA,NA,NA,NA,NA,si,NA,NA,si,M,2016-02-06,El Pital de Caldono,Cauca,Líder indígena,,,,https://redhuerteros.org/b410&registros=10&pagina=9&orden=ASC
isaias-penagos,Isaias Penagos,NA,NA,si,si,NA,NA,NA,NA,NA,NA,NA,M,2016-02-07,Puerto Asís,Putumayo,Líder campesino o agrario,,,,http://justiciaypazcolombia.com/Asesinado-campesino-de-la-Zona-de-Reserva-Campesina-Perla-Amazonica
anibal-coronado,Aníbal Coronado,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-02-18,Cienaga de Oro,Córdoba,Líder comunitario,,El líder se dirigía a recoger a sus hijos al colegio cuando fue asesinado por dos hombres que le dispararon en varias ocasiones desde una motocicleta hasta causarle la muerte.,,"http://www.elespectador.com/noticias/nacional/asesinan-anibal-coronado-excandidato-al-concejo-de-cien-articulo-617484, http://www.eluniversal.com.co/regional/asesinado-excandidato-al-concejo-en-cienaga-de-oro-219531"
edwin-yonda,Edwin Yonda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-02-22,Páez,Cauca,Líder indígena,Comunero indígena Cric,Fue asesinado con otras dos personas.,,https://pasocolombia.tupale.co/I2241e9d9b97414c6a7be03c3c6c882b0
jose-armides-collo,José Armides Collo Lipons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-02-22,Páez,Cauca,Líder indígena,,,,https://redhuerteros.org/b410&registros=10&pagina=12&orden=ASC
miguel-munoz-fernandez,Miguel Muñoz Fernandez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-02-22,Páez,Cauca,Líder indígena,,,,https://redhuerteros.org/b410&registros=10&pagina=12&orden=ASC
ivan-yardani-burbano,Iván Yardani Burbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-02-25,Sucre,Cauca,Líder comunitario,,,,https://redhuerteros.org/b410&registros=10&pagina=13&orden=ASC
hanner-sebastian-corpus,Hanner Sebastián Corpus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-02-26,Santander de Quilichao,Cauca,Líder indígena,Comunero indígena,Asesinato realizado mediante modo sicarial,,https://redhuerteros.org/b410&registros=10&pagina=13&orden=ASC
marisela-tombe,Marisela Tombe,NA,NA,si,si,NA,NA,NA,si,si,NA,si,F,2016-02-28,El Tambo,Cauca,Líder comunal,"Presidenta de la Asociación Campesina Ambiental de Playa Rica (Ascap), de El Tambo",Salía de un establecimiento público y un sujeto desconocido le disparó ocasionando de manera inmediata su deceso,,"http://www.eltiempo.com/colombia/cali/conflicto-asesinada-lider-campesina-en-el-occidente-del-cauca/16524473, http://www.eltiempo.com/colombia/cali/conflicto-asesinada-lider-campesina-en-el-occidente-del-cauca/16524473"
gilberto-de-jesus-quintero,Gilberto de Jesús Quintero,si,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,2016-02-29,Tarazá,Antioquia,Líder comunal,,,,https://redhuerteros.org/b410&registros=10&pagina=9&orden=ASC
willar-alexander-oime,Willar Alexander Oime Alarcon,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-03-02,Popayán,Cauca,Líder indígena,,,,
hernando-perez-iriarte,Hernando Perez Iriarte,NA,NA,si,si,NA,NA,NA,NA,si,NA,NA,M,2016-03-02,Los Palmitos,Sucre,Líder campesino o agrario,,"Representaba a su familia en un proceso de reclamación de tierras del predio El Porvenir, se encontraba sentado en la sala de su casa, viendo las noticias, cuando un hombre ingresó y le disparó en tres oportunidades. Un balazo dio en la cabeza de Pérez, quien murió de inmediato.",,https://www.elheraldo.co/judicial/en-sucre-asesinan-reclamante-de-tierras-dentro-de-su-casa-246558
noel-salgado,Noel Salgado,NA,NA,NA,NA,NA,NA,NA,si,NA,NA,NA,M,2016-03-04,Valle del Guamuez,Putumayo,Líder indígena,Médico tradicional de un resguardo indígena,,,
klaus-zapata,Klaus Zapata,NA,NA,NA,si,NA,NA,NA,si,NA,NA,si,M,2016-03-05,Soacha,Cundinamarca,Líder juvenil,Responsable de comunicaciones,,,"https://www.rcnradio.com/colombia/quien-mato-klaus-zapata, http://www.noticiasrcn.com/tags/klaus-zapata, http://www.contagioradio.com/asesinan-a-klaus-zapata-integrante-de-la-juventud-comunista-articulo-21097/"
william-castillo-chima,William Castillo Chima,NA,NA,si,si,NA,NA,NA,si,si,NA,si,M,2016-03-07,El Bagre,Antioquia,Líder campesino o agrario,,,,"http://www.telesurtv.net/news/Asesinan-a-lider-campesino-al-norte-de-Colombia-20160308-0007.html, http://prensarural.org/spip/spip.php?article18821"
gil-de-jesus-salgado,Gil de Jesus Salgado,NA,NA,si,si,NA,NA,NA,si,NA,NA,si,M,2016-03-11,Arauquita,Arauca,Líder campesino o agrario,,,,http://www.eltiempo.com/colombia/otras-ciudades/eln-seria-responsable-del-asesinato-de-un-escolta-en-arauquita/16534097
james-balanta-mera,James Balanta Mera,si,NA,si,si,NA,NA,NA,si,si,NA,NA,M,2016-03-15,Caloto,Cauca,Líder afrodescendiente,,,,"http://www.wradio.com.co/noticias/regionales/denuncian-asesinato-de-un-lider-afro-en-el-norte-del-cauca/20160316/nota/3086108.aspx, http://www.proclamadelcauca.com/2016/03/asesinan-lider-afro-del-norte-del-cauca-caloto.html,  http://www.proclamadelcauca.com/2016/03/asesinan-lider-afro-del-norte-del-cauca-caloto.html"
